workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size
swap,10,0,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00015759997768327594,2.5500019546598196e-05,0.1938306999800261,0.1938561999995727,1230.052204633936,110,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,1,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.0004199999966658652,1.6999983927235007e-05,0.20831159999943338,0.20832859998336062,496.02048008847567,850,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,2,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.001433299999916926,1.4699995517730713e-05,0.18523669999558479,0.18525139999110252,129.2481685633431,4200,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,3,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00015449998318217695,1.4299992471933365e-05,0.19545620001736097,0.1954705000098329,1265.1813675561766,116,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,4,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00012430001515895128,1.3200013199821115e-05,0.18949630000861362,0.18950950002181344,1524.6136517318532,56,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,5,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00021090000518597662,1.479999627918005e-05,0.19592470000497997,0.19593950000125915,929.06351438197,194,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,6,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.0001409000251442194,1.279998105019331e-05,0.21968350000679493,0.21969629998784512,1559.2353497664258,96,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,7,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00017120002303272486,1.7499987734481692e-05,0.18495039999834262,0.1849678999860771,1080.4198311978062,174,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,8,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00024319998919963837,2.780000795610249e-05,0.18842429999494925,0.18845210000290535,774.8853140293872,74,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,9,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.0001824999926611781,1.960000372491777e-05,0.19481320001068525,0.19483280001441017,1067.5770293105088,50,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,10,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00017770001431927085,1.5300000086426735e-05,0.18863700001384132,0.18865230001392774,1061.6335667535686,78,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,11,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00018130001262761652,1.3499986380338669e-05,0.1849965000001248,0.18500999998650514,1020.4632493132186,202,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,12,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00014769998961128294,1.4099990949034691e-05,0.20595450000837445,0.2059685999993235,1394.5065300369483,94,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,13,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00013349999790079892,1.4699995517730713e-05,0.18923469999572262,0.18924939999124035,1417.598524097863,52,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,14,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00011480000102892518,1.1299998732283711e-05,0.22193249998963438,0.22194379998836666,1933.308344940218,80,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,15,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00012229999992996454,1.4899997040629387e-05,0.19997020001756027,0.1999851000146009,1635.2011457818721,42,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,16,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00015050001093186438,1.9400002202019095e-05,0.1852634999959264,0.18528289999812841,1231.1155251809996,46,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,17,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00013599998783320189,1.37000170070678e-05,0.19589259999338537,0.19590630001039244,1440.4876289449603,110,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,18,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00015259999781847,1.3899989426136017e-05,0.19923740002559498,0.19925130001502112,1305.7097173228442,120,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,10,19,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.00019419999443925917,1.8399994587525725e-05,0.20801760000176728,0.2080359999963548,1071.2461686574516,56,20,20,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
swap,100,0,zipf_1.2,1.2,110000,110000,100000,110000,100000,10000,42,0.0011819999781437218,0.0001142999972216785,0.2020124999980908,0.20212679999531247,171.00406407176385,1538,200,200,True,True,True,68869e6,1000,10.0,2.0,19.049999999999955,118.13999999999987,2077
