algorithm,case_type,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout,code_version
Singleton-FullScan,pass,10000,11000,11000,10000,3,4,0.1,4,1,1000,0,0.0,48.46667910000542,48.65937589999521,2.657541275024414,31.92578125,2.657541275024414,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,3,0,0.1,4,1,1000,4,0.17403539997758344,0.009890399989672005,0.18536660002428107,5.6417236328125,36.59375,5.6417236328125,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,3,1,0.1,4,1,1000,4,0.17690779999247752,0.009078400005819276,0.1875380999990739,5.641792297363281,36.73828125,5.641792297363281,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,3,2,0.1,4,1,1000,4,0.1769524000119418,0.00998900001286529,0.1885206000006292,5.641792297363281,36.75390625,5.641792297363281,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,3,3,0.1,4,1,1000,4,0.17360080001526512,0.008800399984465912,0.1837666000064928,5.641792297363281,36.75390625,5.641792297363281,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,3,4,0.1,4,1,1000,4,0.17554649998783134,0.009476900013396516,0.18693209998309612,5.641792297363281,36.7421875,5.641792297363281,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,3,0,0.1,4,1,1000,1,0.022106499993242323,0.0053001999913249165,0.028714700019918382,1.3648529052734375,36.7578125,1.3648529052734375,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,3,1,0.1,4,1,1000,1,0.021592400007648394,0.0053180999821051955,0.028511500015156344,1.364898681640625,36.61328125,1.364898681640625,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,3,2,0.1,4,1,1000,1,0.021589000010862947,0.005200799991143867,0.028118700021877885,1.364898681640625,36.6171875,1.364898681640625,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,3,3,0.1,4,1,1000,1,0.021755199995823205,0.005677300010574982,0.028706799988867715,1.364898681640625,36.6171875,1.364898681640625,True,False,68869e6
