batch_size,batch_index,distribution,n,seed,incremental_time,static_rebuild_time,speedup,result_match,affected_block_rows,inc_is_repair,static_is_repair
10,38,uniform,1000000,1,0.07073449999734294,0.6595668000009027,9.324541772765462,True,14,False,False
10,39,uniform,1000000,1,0.19917029999851366,0.6692992000025697,3.360436771986408,True,18,False,False
10,40,uniform,1000000,1,0.03597799999988638,0.7144984999977169,19.85931680471325,True,11,False,False
10,41,uniform,1000000,1,0.12227619999976014,0.7176368000000366,5.8689818623856835,True,14,False,False
10,42,uniform,1000000,1,0.14564180000161286,0.6921156000025803,4.752176916207543,True,15,False,False
10,43,uniform,1000000,1,0.063336100000015,0.6827443000001949,10.77970225511254,True,12,False,False
10,44,uniform,1000000,1,0.12456460000248626,0.7205094000019017,5.784222804773752,True,15,False,False
10,45,uniform,1000000,1,0.06658089999837102,0.6915264000017487,10.386257921095504,True,12,False,False
10,46,uniform,1000000,1,0.09578690000125789,0.7379320000000007,7.703892703389608,True,13,False,False
10,47,uniform,1000000,1,0.06687160000001313,0.7205260999980965,10.774769857427593,True,12,False,False
10,48,uniform,1000000,1,0.06249729999763076,0.6556208000001789,10.490385985075084,True,12,False,False
10,49,uniform,1000000,1,0.14533139999912237,0.6590150000010908,4.5345672029930935,True,16,False,False
100,0,uniform,1000000,1,0.6794746000014129,0.6246547999980976,0.91932031012903,True,123,False,False
100,1,uniform,1000000,1,0.9553581000000122,0.6412514000003284,0.6712157462215689,True,135,False,False
100,2,uniform,1000000,1,0.8027898000000278,0.685132299997349,0.8534392190799203,True,128,False,False
100,3,uniform,1000000,1,0.9122390999982599,0.6305221999973583,0.691180853789934,True,132,False,False
100,4,uniform,1000000,1,0.8982920000016748,0.6680558000007295,0.7436955911880369,True,132,False,False
100,5,uniform,1000000,1,0.5307209000020521,0.6240873000024294,1.175923729402811,True,116,False,False
100,6,uniform,1000000,1,0.8103554999979679,0.6193834000005154,0.7643354058830583,True,131,False,False
100,7,uniform,1000000,1,0.8541106000011496,0.6274785999994492,0.7346573148707025,True,132,False,False
100,8,uniform,1000000,1,0.7830997000019124,0.6240224000030139,0.7968620087601744,True,127,False,False
100,9,uniform,1000000,1,0.7310290999994322,0.6664536000025691,0.9116649391974776,True,125,False,False
100,10,uniform,1000000,1,0.8306155999998737,0.6812631000029796,0.8201905911748867,True,127,False,False
100,11,uniform,1000000,1,0.9013075000002573,0.6656836000001931,0.738575458431227,True,133,False,False
100,12,uniform,1000000,1,0.7771958999983326,0.7199586999995518,0.9263542177732749,True,127,False,False
100,13,uniform,1000000,1,0.9338709000003291,0.6488390000013169,0.6947844718162738,True,133,False,False
100,14,uniform,1000000,1,0.8115040999982739,0.6606064999978116,0.8140519561136127,True,129,False,False
100,15,uniform,1000000,1,0.827051999996911,0.7186643999993976,0.8689470553267288,True,130,False,False
100,16,uniform,1000000,1,0.842822000002343,0.6668796999983897,0.7912461943287382,True,131,False,False
100,17,uniform,1000000,1,0.7156963000015821,0.7280829000010272,1.0173070616676623,True,124,False,False
100,18,uniform,1000000,1,0.9489998999997624,0.7995201000012457,0.8424870223921477,True,137,False,False
100,19,uniform,1000000,1,0.7922491999997874,0.8066249000003154,1.0181454269698624,True,124,False,False
100,20,uniform,1000000,1,0.8832550000006449,0.6567663999994693,0.7435750717505021,True,131,False,False
100,21,uniform,1000000,1,0.6607590999992681,0.6408321999988402,0.9698424130663507,True,122,False,False
100,22,uniform,1000000,1,0.8383947999973316,0.6466811000027519,0.7713324319339888,True,134,False,False
100,23,uniform,1000000,1,0.661300100000517,0.6463000999974611,0.9773174085365416,True,122,False,False
100,24,uniform,1000000,1,1.0169316999999864,0.6557847999974911,0.6448661203082762,True,137,False,False
100,25,uniform,1000000,1,0.8900218000017048,0.7419362000000547,0.8336157608708388,True,130,False,False
100,26,uniform,1000000,1,0.9973019000026397,0.6724682999993092,0.6742875953585662,True,132,False,False
100,27,uniform,1000000,1,0.8567607999975735,0.6836014000000432,0.7978906131115935,True,131,False,False
100,28,uniform,1000000,1,1.015584900000249,0.7018199999984063,0.6910500540114708,True,136,False,False
100,29,uniform,1000000,1,0.9826914999975997,0.641503399998328,0.6528024308746894,True,136,False,False
