/*algorithm,case_type,n,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout
Singleton-FullScan,fail,1000,2,2,0.1,4,1,101,0,0.0,0.3948299000003317,0.41354449999926146,0.8856649398803711,27.42578125,0.8856649398803711,False,False
Singleton-FullScan,fail,1000,2,3,0.1,4,1,101,0,0.0,0.32303420000062033,0.3449227000000974,0.8856649398803711,27.41015625,0.8856649398803711,False,False
Singleton-FullScan,fail,1000,2,4,0.1,4,1,101,0,0.0,0.4929249999986496,0.5108933999999863,0.8856649398803711,27.40625,0.8856649398803711,False,False
FD-Hash,fail,1000,2,0,0.1,4,1,101,4,0.016240700000707875,0.0002781999992294004,0.016782999999122694,0.603118896484375,28.65625,0.603118896484375,False,False
FD-Hash,fail,1000,2,1,0.1,4,1,101,4,0.016543800000363262,0.0001962000005732989,0.016990699999951175,0.603118896484375,28.41796875,0.603118896484375,False,False
FD-Hash,fail,1000,2,2,0.1,4,1,101,4,0.017767699999239994,0.00023350000083155464,0.018336099999942235,0.603118896484375,28.41796875,0.603118896484375,False,False
FD-Hash,fail,1000,2,3,0.1,4,1,101,4,0.0167885999999271,0.00020009999934700318,0.017331600000034086,0.603118896484375,28.41796875,0.603118896484375,False,False
FD-Hash,fail,1000,2,4,0.1,4,1,101,4,0.01779759999953967,0.00018529999942984432,0.01825499999904423,0.603118896484375,28.41796875,0.603118896484375,False,False
BCNF-Index,fail,1000,2,0,0.1,4,1,101,1,0.0019281999993836507,0.0011467999993328704,0.003236099999412545,0.15460205078125,28.5390625,0.15460205078125,False,False
BCNF-Index,fail,1000,2,1,0.1,4,1,101,1,0.0019415999995544553,0.0012679000010393793,0.0033777000007830793,0.15459442138671875,28.5390625,0.15459442138671875,False,False
BCNF-Index,fail,1000,2,2,0.1,4,1,101,1,0.0025516999994579237,0.001434499999959371,0.004199999999400461,0.1545867919921875,28.5390625,0.1545867919921875,False,False
BCNF-Index,fail,1000,2,3,0.1,4,1,101,1,0.0019960000008723,0.001189999999041902,0.0033837000009953044,0.1545867919921875,28.5390625,0.1545867919921875,False,False
BCNF-Index,fail,1000,2,4,0.1,4,1,101,1,0.0020053999996889615,0.0012684999983321177,0.0034462999992683763,0.1545867919921875,28.5390625,0.1545867919921875,False,False
Singleton-FullScan,pass,1000,3,0,0.1,4,1,100,0,0.0,0.46440160000020114,0.4825994000002538,0.8854961395263672,27.50390625,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,3,1,0.1,4,1,100,0,0.0,0.46725990000049933,0.48569229999884556,0.8854961395263672,27.23828125,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,3,2,0.1,4,1,100,0,0.0,0.4659747999994579,0.483894799999689,0.8854961395263672,27.27734375,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,3,3,0.1,4,1,100,0,0.0,0.4792249999991327,0.4983821000005264,0.8854961395263672,27.28125,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,3,4,0.1,4,1,100,0,0.0,0.5026005999989138,0.5228327000004356,0.8854961395263672,27.44140625,0.8854961395263672,True,False
FD-Hash,pass,1000,3,0,0.1,4,1,100,4,0.019192599998859805,0.0008182999990822282,0.020312799999373965,0.603118896484375,28.6640625,0.603118896484375,True,False
FD-Hash,pass,1000,3,1,0.1,4,1,100,4,0.01721439999892027,0.0007409999998344574,0.018231500000183587,0.603118896484375,28.49609375,0.603118896484375,True,False
FD-Hash,pass,1000,3,2,0.1,4,1,100,4,0.017595799999980954,0.0006703999988530995,0.018538700000135577,0.603118896484375,28.4921875,0.603118896484375,True,False
FD-Hash,pass,1000,3,3,0.1,4,1,100,4,0.01968500000111817,0.000813900000139256,0.02077839999947173,0.603118896484375,28.49609375,0.603118896484375,True,False
FD-Hash,pass,1000,3,4,0.1,4,1,100,4,0.017979700000068988,0.0007112000002962304,0.01906089999829419,0.603118896484375,28.49609375,0.603118896484375,True,False
BCNF-Index,pass,1000,3,0,0.1,4,1,100,1,0.0020060999995621387,0.005624299999908544,0.007814300000973162,0.1545867919921875,28.6328125,0.1545867919921875,True,False
BCNF-Index,pass,1000,3,1,0.1,4,1,100,1,0.0022339999995892867,0.006144200000562705,0.008573699999033124,0.1545867919921875,28.6328125,0.1545867919921875,True,False
BCNF-Index,pass,1000,3,2,0.1,4,1,100,1,0.001969900000403868,0.005399100000431645,0.007573799999590847,0.1545867919921875,28.6328125,0.1545867919921875,True,False
